street_name,street_name_int
YISHUN AVE 9,560
YISHUN ST 71,573
BT BATOK ST 32,76
SILAT AVE,426
TIONG BAHRU RD,495
SAGO LANE,394
ST. GEORGE'S LANE,440
LIM CHU KANG RD,305
C'WEALTH AVE,98
QUEEN'S CL,381
SERANGOON AVE 3,416
POTONG PASIR AVE 2,369
WOODLANDS AVE 1,518
YISHUN AVE 4,556
LOWER DELTA RD,321
NILE RD,341
JLN MEMBINA BARAT,245
JLN BERSEH,234
CHANDER RD,117
CASSIA CRES,112
OLD AIRPORT RD,343
ALJUNIED RD,6
BUANGKOK STH FARMWAY 1,96
BT BATOK ST 33,77
ALEXANDRA RD,3
CHIN SWEE RD,119
SIMS PL,435
HOUGANG AVE 2,207
HOUGANG AVE 8,213
SEMBAWANG RD,402
SIMEI ST 1,429
BT BATOK ST 34,78
BT MERAH CTRL,88
LIM LIAK ST,306
JLN TENTERAM,251
WOODLANDS ST 32,547
SIN MING AVE,436
BT BATOK ST 52,80
DELTA AVE,165
PIPIT RD,367
HOUGANG AVE 4,209
QUEENSWAY,383
YISHUN ST 61,572
BISHAN ST 12,54
JLN MA'MOR,243
TAMPINES ST 44,470
TAMPINES ST 43,469
BISHAN ST 13,55
JLN DUSUN,239
YISHUN AVE 2,554
JOO CHIAT RD,253
EAST COAST RD,171
REDHILL RD,387
KIM PONG RD,297
RACE COURSE RD,384
KRETA AYER RD,302
HOUGANG ST 61,223
TESSENSOHN RD,493
MARSILING RD,331
YISHUN ST 81,575
BT BATOK ST 51,79
BT BATOK WEST AVE 4,82
BT BATOK WEST AVE 2,81
JURONG WEST ST 91,282
JURONG WEST ST 81,281
GANGSA RD,187
MCNAIR RD,333
SIMEI ST 4,431
YISHUN AVE 7,559
SERANGOON NTH AVE 2,421
YISHUN AVE 11,553
BANGKIT RD,32
JURONG WEST ST 73,278
OUTRAM HILL,344
HOUGANG AVE 6,211
PASIR RIS ST 12,354
PENDING RD,364
PETIR RD,365
LOR 3 GEYLANG,311
BISHAN ST 11,53
PASIR RIS DR 6,352
JURONG WEST ST 92,283
PASIR RIS ST 11,353
YISHUN CTRL,561
BISHAN ST 22,56
SIMEI RD,428
TAMPINES ST 84,478
BT PANJANG RING RD,91
JURONG WEST ST 93,284
FAJAR RD,179
WOODLANDS ST 81,549
CHOA CHU KANG CTRL,127
PASIR RIS ST 51,358
HOUGANG ST 52,222
CASHEW RD,111
TOH YI DR,500
HOUGANG CTRL,215
KG KAYU RD,293
TAMPINES AVE 8,453
TAMPINES ST 45,471
SIMEI ST 2,430
WOODLANDS AVE 3,519
LENGKONG TIGA,304
BISHAN ST 23,57
WOODLANDS ST 82,550
SERANGOON NTH AVE 4,423
SERANGOON CTRL DR,419
BRIGHT HILL DR,64
SAUJANA RD,395
CHOA CHU KANG AVE 3,122
TAMPINES AVE 9,454
JURONG WEST ST 51,270
YUNG HO RD,578
SERANGOON AVE 1,414
PASIR RIS ST 41,357
GEYLANG EAST AVE 2,190
CHOA CHU KANG AVE 2,121
KIM KEAT LINK,296
PASIR RIS DR 4,351
PASIR RIS ST 21,356
SENG POH RD,405
HOUGANG ST 51,221
JURONG WEST ST 72,277
JURONG WEST ST 71,276
PASIR RIS ST 52,359
TAMPINES ST 32,464
CHOA CHU KANG AVE 4,123
CHOA CHU KANG LOOP,129
JLN TENAGA,250
TAMPINES CTRL 1,455
TAMPINES ST 33,465
BT BATOK WEST AVE 7,85
JURONG WEST AVE 5,263
TAMPINES AVE 7,452
WOODLANDS ST 83,551
YISHUN CTRL 1,562
CHOA CHU KANG AVE 1,120
WOODLANDS ST 31,546
BT MERAH LANE 1,89
BISHAN ST 24,58
WOODLANDS ST 41,548
JURONG WEST ST 74,279
PASIR RIS DR 1,348
PASIR RIS ST 13,355
PASIR RIS DR 10,349
CHOA CHU KANG ST 52,134
CHOA CHU KANG ST 51,133
PASIR RIS ST 53,360
CHOA CHU KANG NTH 5,130
ELIAS RD,174
JLN DAMAI,237
PASIR RIS ST 72,362
PASIR RIS ST 71,361
CHOA CHU KANG ST 62,137
WOODLANDS AVE 5,521
WOODLANDS DR 50,532
CHOA CHU KANG ST 53,135
UPP SERANGOON RD,507
JURONG WEST ST 75,280
STRATHMORE AVE,443
ANG MO KIO ST 31,24
TAMPINES ST 34,466
WHAMPOA RD,515
PASIR RIS DR 3,350
CLARENCE LANE,140
YUNG AN RD,577
CHOA CHU KANG NTH 6,131
ANG MO KIO ST 21,23
WOODLANDS AVE 4,520
CHOA CHU KANG NTH 7,132
ANG MO KIO ST 11,22
WOODLANDS AVE 9,523
YUNG LOH RD,580
CHOA CHU KANG DR,128
CHOA CHU KANG ST 54,136
REDHILL LANE,386
KANG CHING RD,286
TAH CHING RD,447
SIMEI ST 5,432
WOODLANDS DR 40,529
WOODLANDS DR 70,537
TAMPINES ST 71,473
WOODLANDS DR 42,530
SERANGOON NTH AVE 3,422
JELAPANG RD,229
BT BATOK ST 22,72
HOUGANG ST 91,224
WOODLANDS AVE 6,522
TAMPINES ST 72,474
WOODLANDS CIRCLE,524
CORPORATION DR,161
LOMPANG RD,307
WOODLANDS DR 72,539
CHOA CHU KANG ST 64,138
BT BATOK ST 24,73
JLN TECK WHYE,249
WOODLANDS CRES,525
WOODLANDS DR 60,535
CHANGI VILLAGE RD,118
BT BATOK ST 25,74
HOUGANG AVE 9,214
JURONG WEST CTRL 1,264
WOODLANDS RING RD,542
CHOA CHU KANG AVE 5,124
TOH GUAN RD,499
JURONG WEST ST 61,272
WOODLANDS DR 14,527
HOUGANG ST 92,225
CHOA CHU KANG CRES,126
SEMBAWANG CL,399
CANBERRA RD,106
SEMBAWANG CRES,400
SEMBAWANG VISTA,403
COMPASSVALE WALK,160
