block,block_Integer,block_Alphabet,block_alp_int
802B,802,B,2
365A,365,A,1
364A,364,A,1
365B,365,B,2
113C,113,C,3
933A,933,A,1
113D,113,D,4
512C,512,C,3
802C,802,C,3
365C,365,C,3
113B,113,B,2
113A,113,A,1
278C,278,C,3
365D,365,D,4
218C,218,C,3
509C,509,C,3
502B,502,B,2
455C,455,C,3
455A,455,A,1
455B,455,B,2
226F,226,F,6
449B,449,B,2
446A,446,A,1
448C,448,C,3
440D,440,D,4
292C,292,C,3
91A,91,A,1
93A,93,A,1
90B,90,B,2
218B,218,B,2
561A,561,A,1
218D,218,D,4
561B,561,B,2
560A,560,A,1
218A,218,A,1
222A,222,A,1
231B,231,B,2
231A,231,A,1
233B,233,B,2
234B,234,B,2
120D,120,D,4
130B,130,B,2
130A,130,A,1
129A,129,A,1
129C,129,C,3
104D,104,D,4
129B,129,B,2
108A,108,A,1
104C,104,C,3
115D,115,D,4
418A,418,A,1
338C,338,C,3
338D,338,D,4
418B,418,B,2
418C,418,C,3
417A,417,A,1
492G,492,G,7
131A,131,A,1
574B,574,B,2
785B,785,B,2
785C,785,C,3
784C,784,C,3
785D,785,D,4
784A,784,A,1
574A,574,A,1
573A,573,A,1
784B,784,B,2
693A,693,A,1
783A,783,A,1
573C,573,C,3
691D,691,D,4
573B,573,B,2
691C,691,C,3
783C,783,C,3
783D,783,D,4
783B,783,B,2
694A,694,A,1
693B,693,B,2
694D,694,D,4
694B,694,B,2
694C,694,C,3
693C,693,C,3
813A,813,A,1
502D,502,D,4
502C,502,C,3
813B,813,B,2
513A,513,A,1
513D,513,D,4
513B,513,B,2
513C,513,C,3
675D,675,D,4
675C,675,C,3
449A,449,A,1
93B,93,B,2
92B,92,B,2
90A,90,A,1
997A,997,A,1
997C,997,C,3
997B,997,B,2
233A,233,A,1
232C,232,C,3
233C,233,C,3
232B,232,B,2
494G,494,G,7
494H,494,H,8
442A,442,A,1
363A,363,A,1
494J,494,J,9
322D,322,D,4
362C,362,C,3
140B,140,B,2
366A,366,A,1
363B,363,B,2
140A,140,A,1
362B,362,B,2
362A,362,A,1
366B,366,B,2
992B,992,B,2
461A,461,A,1
461D,461,D,4
998B,998,B,2
991A,991,A,1
992A,992,A,1
140D,140,D,4
140C,140,C,3
996A,996,A,1
996B,996,B,2
998A,998,A,1
991B,991,B,2
182A,182,A,1
462A,462,A,1
461C,461,C,3
461B,461,B,2
995A,995,A,1
996C,996,C,3
182B,182,B,2
462C,462,C,3
462B,462,B,2
995C,995,C,3
995B,995,B,2
999B,999,B,2
323D,323,D,4
606B,606,B,2
462D,462,D,4
605B,605,B,2
605A,605,A,1
605C,605,C,3
437A,437,A,1
460A,460,A,1
606A,606,A,1
606D,606,D,4
438C,438,C,3
606C,606,C,3
605D,605,D,4
460B,460,B,2
83B,83,B,2
460C,460,C,3
240A,240,A,1
460D,460,D,4
83A,83,A,1
