block,block_Integer,block_Alphabet,block_alp_int
625A,625,A,1
788B,788,B,2
956,956,,0
124C,124,C,3
624B,624,B,2
788C,788,C,3
288F,288,F,6
485D,485,D,4
296A,296,A,1
296E,296,E,5
673A,673,A,1
485C,485,C,3
670A,670,A,1
951,951,,0
957,957,,0
206C,206,C,3
224A,224,A,1
123D,123,D,4
205A,205,A,1
153A,153,A,1
296B,296,B,2
698A,698,A,1
958,958,,0
123E,123,E,5
788D,788,D,4
699C,699,C,3
955,955,,0
699,699,,0
699A,699,A,1
206B,206,B,2
226A,226,A,1
223C,223,C,3
225B,225,B,2
296D,296,D,4
297D,297,D,4
672A,672,A,1
297C,297,C,3
954,954,,0
964,964,,0
959,959,,0
223D,223,D,4
223B,223,B,2
224B,224,B,2
226B,226,B,2
297B,297,B,2
963,963,,0
969,969,,0
698B,698,B,2
339A,339,A,1
227A,227,A,1
205C,205,C,3
123A,123,A,1
123C,123,C,3
206D,206,D,4
228A,228,A,1
968,968,,0
698D,698,D,4
228B,228,B,2
123B,123,B,2
224C,224,C,3
517E,517,E,5
667D,667,D,4
228C,228,C,3
297A,297,A,1
517A,517,A,1
517D,517,D,4
205B,205,B,2
682D,682,D,4
103B,103,B,2
970,970,,0
960,960,,0
698C,698,C,3
664C,664,C,3
192C,192,C,3
226C,226,C,3
